algorithm,suite,environment,single_obj,hpo,rpo,optimisation_seed,evaluation_seed,final_mean_return,final_std_return,def_rew_mean_return,def_rew_std_return,config
ppo,brax,ant,True,dehb,rs,4,13,7814.0419921875,22.761452770759373,7636.9501953125,29.99393752388834,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 13, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,4,20,8084.390625,23.851600958444223,8069.5673828125,25.209221882417264,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,4,16,8417.916015625,17.921282511514576,8266.1748046875,24.398657674353657,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 16, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,4,17,7762.34326171875,27.710987521826848,8056.81201171875,26.004355907337978,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 17, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,4,14,8076.3583984375,22.14415453040927,8200.267578125,20.76220687110772,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 14, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,4,19,8248.689453125,20.06623655178178,8288.109375,22.379570271039647,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 19, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,4,18,8146.6044921875,21.326392274484565,8279.466796875,19.23271007412681,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 18, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,4,15,8037.8720703125,21.672592491526625,8018.13671875,25.130263457893065,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 15, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,2,18,8225.125,6.875509941908178,8109.65234375,10.372905117406871,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.851251461385935, 'ctrl_cost_weight': 0.10874026064639897, 'healthy_reward': 1.626130475263231}, 'model_kwargs': {'seed': 18, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9824670678661674, 'gae_lambda': 0.9492252368062122, 'learning_rate': 0.0007883056351461233, 'entropy_cost': 0.016405654912444955, 'vf_cost': 0.4728113474788139, 'clipping_epsilon': 0.3795356156875699, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,4,12,7927.439453125,23.38598331694527,7889.1259765625,27.4578710188136,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 12, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,2,17,8160.92138671875,9.57332447346518,8046.65576171875,13.669580560781055,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.851251461385935, 'ctrl_cost_weight': 0.10874026064639897, 'healthy_reward': 1.626130475263231}, 'model_kwargs': {'seed': 17, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9824670678661674, 'gae_lambda': 0.9492252368062122, 'learning_rate': 0.0007883056351461233, 'entropy_cost': 0.016405654912444955, 'vf_cost': 0.4728113474788139, 'clipping_epsilon': 0.3795356156875699, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,4,11,8246.2939453125,13.64277779850205,8044.1513671875,23.38427867150665,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 11, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,2,19,8032.0078125,3.796111742131336,7985.8251953125,7.668619233174992,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.851251461385935, 'ctrl_cost_weight': 0.10874026064639897, 'healthy_reward': 1.626130475263231}, 'model_kwargs': {'seed': 19, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9824670678661674, 'gae_lambda': 0.9492252368062122, 'learning_rate': 0.0007883056351461233, 'entropy_cost': 0.016405654912444955, 'vf_cost': 0.4728113474788139, 'clipping_epsilon': 0.3795356156875699, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,2,20,7042.232421875,23.842294382967935,7321.8828125,17.731975317994753,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.851251461385935, 'ctrl_cost_weight': 0.10874026064639897, 'healthy_reward': 1.626130475263231}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9824670678661674, 'gae_lambda': 0.9492252368062122, 'learning_rate': 0.0007883056351461233, 'entropy_cost': 0.016405654912444955, 'vf_cost': 0.4728113474788139, 'clipping_epsilon': 0.3795356156875699, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,2,11,8113.9775390625,10.49565904490864,8059.2861328125,14.146845599426808,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.851251461385935, 'ctrl_cost_weight': 0.10874026064639897, 'healthy_reward': 1.626130475263231}, 'model_kwargs': {'seed': 11, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9824670678661674, 'gae_lambda': 0.9492252368062122, 'learning_rate': 0.0007883056351461233, 'entropy_cost': 0.016405654912444955, 'vf_cost': 0.4728113474788139, 'clipping_epsilon': 0.3795356156875699, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,2,14,5328.92431640625,28.872737383513854,5404.69189453125,28.673437223462795,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.851251461385935, 'ctrl_cost_weight': 0.10874026064639897, 'healthy_reward': 1.626130475263231}, 'model_kwargs': {'seed': 14, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9824670678661674, 'gae_lambda': 0.9492252368062122, 'learning_rate': 0.0007883056351461233, 'entropy_cost': 0.016405654912444955, 'vf_cost': 0.4728113474788139, 'clipping_epsilon': 0.3795356156875699, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,2,13,6049.421875,26.151043375141736,6103.7041015625,26.688409861903462,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.851251461385935, 'ctrl_cost_weight': 0.10874026064639897, 'healthy_reward': 1.626130475263231}, 'model_kwargs': {'seed': 13, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9824670678661674, 'gae_lambda': 0.9492252368062122, 'learning_rate': 0.0007883056351461233, 'entropy_cost': 0.016405654912444955, 'vf_cost': 0.4728113474788139, 'clipping_epsilon': 0.3795356156875699, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,2,15,7876.61328125,12.716116285453428,7758.505859375,18.46378124563389,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.851251461385935, 'ctrl_cost_weight': 0.10874026064639897, 'healthy_reward': 1.626130475263231}, 'model_kwargs': {'seed': 15, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9824670678661674, 'gae_lambda': 0.9492252368062122, 'learning_rate': 0.0007883056351461233, 'entropy_cost': 0.016405654912444955, 'vf_cost': 0.4728113474788139, 'clipping_epsilon': 0.3795356156875699, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}"
